award,rank,player,team,position,odds,have_headshot,team_pos_confidence
MVP,1,Josh Allen,BUF,QB,+500,yes,ok
MVP,2,Joe Burrow,CIN,QB,+800,yes,ok
MVP,3,Lamar Jackson,BAL,QB,+800,yes,ok
MVP,4,Matthew Stafford,LAR,QB,+1200,yes,ok
MVP,5,Justin Herbert,LAC,QB,+1000,yes,ok
MVP,6,Drake Maye,NE,QB,+1000,yes,ok
MVP,7,Caleb Williams,CHI,QB,+1200,yes,ok
MVP,8,Trevor Lawrence,JAX,QB,+1600,yes,ok
MVP,9,Patrick Mahomes,KC,QB,+1000,yes,ok
MVP,10,Jayden Daniels,WAS,QB,+2000,yes,ok
MVP,11,Dak Prescott,DAL,QB,+1200,yes,ok
MVP,12,Jordan Love,GB,QB,+2000,yes,ok
MVP,13,Brock Purdy,SF,QB,+1800,yes,ok
MVP,14,Bo Nix,DEN,QB,+3000,yes,ok
MVP,15,Jalen Hurts,PHI,QB,+1900,yes,ok
MVP,16,Sam Darnold,SEA,QB,+2500,yes,ok
MVP,17,Jared Goff,DET,QB,+2500,yes,ok
MVP,18,Kyler Murray,MIN,QB,+4000,yes,ok
MVP,19,Jaxson Dart,NYG,QB,+4500,no,check
MVP,20,Baker Mayfield,TB,QB,+4000,yes,ok
MVP,21,C.J. Stroud,HOU,QB,+5000,yes,ok
MVP,22,Cam Ward,TEN,QB,+6000,yes,check
MVP,23,Jahmyr Gibbs,DET,RB,+4500,yes,ok
MVP,24,Bijan Robinson,ATL,RB,+6000,yes,ok
MVP,25,Myles Garrett,LAR,EDGE,+15000,no,check
MVP,26,Daniel Jones,IND,QB,+8000,yes,ok
MVP,27,Tyler Shough,NO,QB,+8000,no,check
MVP,28,Aaron Rodgers,PIT,QB,+10000,yes,ok
MVP,29,Bryce Young,CAR,QB,+10000,yes,ok
MVP,30,Jacoby Brissett,ARI,QB,+50000,no,ok
MVP,31,Malik Willis,MIA,QB,+10000,no,ok
MVP,32,Michael Penix Jr.,ATL,QB,+12500,yes,check
MVP,33,Fernando Mendoza,LV,QB,+15000,no,ok
MVP,34,Geno Smith,NYJ,QB,+20000,yes,ok
MVP,35,Puka Nacua,LAR,WR,+12500,yes,ok
MVP,36,Christian McCaffrey,SF,RB,+15000,yes,ok
MVP,37,Tua Tagovailoa,ATL,QB,+15000,yes,ok
MVP,38,Kirk Cousins,LV,QB,+17500,no,ok
MVP,39,Justin Jefferson,MIN,WR,+20000,yes,ok
MVP,40,Ja'Marr Chase,CIN,WR,+15000,yes,ok
MVP,41,Will Anderson Jr.,HOU,EDGE,+30000,no,ok
MVP,42,Joe Flacco,CIN,QB,+30000,no,ok
MVP,43,Anthony Richardson,IND,QB,+30000,no,ok
MVP,44,Mac Jones,SF,QB,+30000,no,ok
MVP,45,Shedeur Sanders,CLE,QB,+20000,yes,check
MVP,46,Deshaun Watson,CLE,QB,+20000,no,ok
MVP,47,Saquon Barkley,PHI,RB,+15000,yes,ok
MVP,48,Jaxon Smith-Njigba,SEA,WR,+10000,yes,ok
MVP,49,CeeDee Lamb,DAL,WR,+20000,yes,ok
MVP,50,James Cook,BUF,RB,+10000,yes,ok
MVP,51,Jonathan Taylor,IND,RB,+10000,yes,ok
MVP,52,Derrick Henry,BAL,RB,+8000,yes,check
MVP,53,De'Von Achane,MIA,RB,+20000,yes,ok
MVP,54,Drake London,ATL,WR,+30000,yes,ok
MVP,55,J.J. McCarthy,MIN,QB,+12500,yes,check
MVP,56,Amon-Ra St. Brown,DET,WR,+30000,yes,ok
MVP,57,Nico Collins,HOU,WR,+30000,yes,ok
MVP,58,Malik Nabers,NYG,WR,+30000,yes,check
