award,rank,player,team,position,odds,odds_range,source,team_pos_confidence,headshot_file,have_headshot
MVP,1,Josh Allen,BUF,QB,+500,+500 to +650,VegasInsider consensus,ok,joshallen.webp,yes
MVP,2,Lamar Jackson,BAL,QB,+800,+800 to +1100,VegasInsider consensus,ok,lamarjackson.webp,yes
MVP,3,Joe Burrow,CIN,QB,+800,+800 to +1000,VegasInsider consensus,ok,joeburrow.webp,yes
MVP,4,Drake Maye,NE,QB,+1000,+1000 to +1200,VegasInsider consensus,ok,drakemaye.webp,yes
MVP,5,Justin Herbert,LAC,QB,+1000,+1000 to +1100,VegasInsider consensus,ok,justinherbert.webp,yes
MVP,6,Patrick Mahomes,KC,QB,+1000,+1000 to +1700,VegasInsider consensus,ok,patrickmahomes.webp,yes
MVP,7,Caleb Williams,CHI,QB,+1200,+1200 to +1600,VegasInsider consensus,ok,calebwilliams.webp,yes
MVP,8,Dak Prescott,DAL,QB,+1200,+1200 to +1400,VegasInsider consensus,ok,dakprescott.webp,yes
MVP,9,Matthew Stafford,LAR,QB,+1200,+1200 to +1400,VegasInsider consensus,ok,matthewstafford.webp,yes
MVP,10,Brock Purdy,SF,QB,+1800,+1800 to +2000,VegasInsider consensus,ok,brockpurdy.webp,yes
MVP,11,Jordan Love,GB,QB,+2000,+2000 to +2200,VegasInsider consensus,ok,jordanlove.webp,yes
MVP,12,Jayden Daniels,WAS,QB,+2000,+2000 to +3000,VegasInsider consensus,ok,jaydendaniels.webp,yes
MVP,13,Trevor Lawrence,JAX,QB,+1600,+1600 to +2500,VegasInsider consensus,ok,trevorlawrence.webp,yes
MVP,14,Jalen Hurts,PHI,QB,+1900,+1900 to +3500,VegasInsider consensus,ok,jalenhurts.webp,yes
MVP,15,Sam Darnold,MIN,QB,+2500,+2500 to +3000,VegasInsider consensus,ok,samdarnold.webp,yes
MVP,16,Bo Nix,DEN,QB,+3000,+3000 to +3500,VegasInsider consensus,ok,bonix.webp,yes
MVP,17,Jared Goff,DET,QB,+2500,+2500 to +3500,VegasInsider consensus,ok,jaredgoff.webp,yes
MVP,18,Kyler Murray,ARI,QB,+4000,+4000 to +4500,VegasInsider consensus,ok,kylermurray.webp,yes
MVP,19,Baker Mayfield,TB,QB,+4000,+4000 to +5000,VegasInsider consensus,ok,bakermayfield.webp,yes
MVP,20,Jaxson Dart,NYG,QB,+4500,+4500 to +6600,VegasInsider consensus,check,jaxsondart.webp,no
MVP,21,C.J. Stroud,HOU,QB,+5000,+5000 to +6000,VegasInsider consensus,ok,cjstroud.webp,yes
MVP,22,Cam Ward,TEN,QB,+6000,+6000 to +50000,VegasInsider consensus,check,camward.webp,yes
MVP,23,Daniel Jones,IND,QB,+8000,+8000 to +17500,VegasInsider consensus,ok,danieljones.webp,yes
MVP,24,Tyler Shough,NO,QB,+8000,+8000 to +10000,VegasInsider consensus,check,tylershough.webp,no
MVP,25,Bryce Young,CAR,QB,+10000,+10000 to +22500,VegasInsider consensus,ok,bryceyoung.webp,yes
MVP,26,Aaron Rodgers,PIT,QB,+10000,+10000 to +50000,VegasInsider consensus,ok,aaronrodgers.webp,yes
MVP,27,Bijan Robinson,ATL,RB,+6000,+6000 to +10000,VegasInsider consensus,ok,bijanrobinson.webp,yes
MVP,28,Malik Willis,GB,QB,+10000,+10000 to +50000,VegasInsider consensus,ok,malikwillis.webp,no
MVP,29,Jahmyr Gibbs,DET,RB,+4500,+4500 to +12500,VegasInsider consensus,ok,jahmyrgibbs.webp,yes
MVP,30,Michael Penix Jr.,ATL,QB,+12500,+12500 to +15000,VegasInsider consensus,check,michaelpenix.webp,yes
MVP,31,Christian McCaffrey,SF,RB,+15000,+15000 to +20000,VegasInsider consensus,ok,christianmccaffrey.webp,yes
MVP,32,Puka Nacua,LAR,WR,+12500,+12500 to +25000,VegasInsider consensus,ok,pukanacua.webp,yes
MVP,33,Tua Tagovailoa,MIA,QB,+15000,+15000 to +30000,VegasInsider consensus,ok,tuatagovailoa.webp,yes
MVP,34,Justin Jefferson,MIN,WR,+20000,+20000 to +50000,VegasInsider consensus,ok,justinjefferson.webp,yes
MVP,35,Ja'Marr Chase,CIN,WR,+15000,+15000 to +20000,VegasInsider consensus,ok,jamarrchase.webp,yes
MVP,36,Justin Fields,NYJ,QB,+20000,+20000 to +50000,VegasInsider consensus,ok,justinfields.webp,yes
MVP,37,Saquon Barkley,PHI,RB,+15000,+15000 to +20000,VegasInsider consensus,ok,saquonbarkley.webp,yes
MVP,38,Jaxon Smith-Njigba,SEA,WR,+10000,+10000 to +35000,VegasInsider consensus,ok,jaxonsmithnjigba.webp,yes
MVP,39,Geno Smith,LV,QB,+20000,+20000 to +50000,VegasInsider consensus,ok,genosmith.webp,yes
MVP,40,Deshaun Watson,CLE,QB,+20000,+20000 to +50000,VegasInsider consensus,ok,deshaunwatson.webp,no
MVP,41,CeeDee Lamb,DAL,WR,+20000,+20000 to +50000,VegasInsider consensus,ok,ceedeelamb.webp,yes
