filename,player,team,position,awards,board_odds,search
christiangonzalez.webp,Christian Gonzalez,NE,CB,DPOY,+6600,https://www.google.com/search?q=Christian+Gonzalez+NE+headshot&tbm=isch
derekstingley.webp,Derek Stingley Jr.,HOU,CB,DPOY,+3000,https://www.google.com/search?q=Derek+Stingley+Jr.+HOU+headshot&tbm=isch
devonwitherspoon.webp,Devon Witherspoon,SEA,CB,DPOY,+8000,https://www.google.com/search?q=Devon+Witherspoon+SEA+headshot&tbm=isch
jahdaebarron.webp,Jahdae Barron,DEN,CB,DPOY,+12000,https://www.google.com/search?q=Jahdae+Barron+DEN+headshot&tbm=isch
jalenramsey.webp,Jalen Ramsey,PIT,CB,DPOY,+6600,https://www.google.com/search?q=Jalen+Ramsey+PIT+headshot&tbm=isch
marlonhumphrey.webp,Marlon Humphrey,BAL,CB,DPOY,+12000,https://www.google.com/search?q=Marlon+Humphrey+BAL+headshot&tbm=isch
patricksurtain.webp,Patrick Surtain II,DEN,CB,DPOY,+2800,https://www.google.com/search?q=Patrick+Surtain+II+DEN+headshot&tbm=isch
saucegardner.webp,Sauce Gardner,NYJ,CB,DPOY,+3000,https://www.google.com/search?q=Sauce+Gardner+NYJ+headshot&tbm=isch
byronmurphy.webp,Byron Murphy II,SEA,DT,DPOY,+8000,https://www.google.com/search?q=Byron+Murphy+II+SEA+headshot&tbm=isch
chrisjones.webp,Chris Jones,KC,DT,DPOY,+3500,https://www.google.com/search?q=Chris+Jones+KC+headshot&tbm=isch
dexterlawrence.webp,Dexter Lawrence,NYG,DT,DPOY,+4000,https://www.google.com/search?q=Dexter+Lawrence+NYG+headshot&tbm=isch
jalencarter.webp,Jalen Carter,PHI,DT,DPOY,+4000,https://www.google.com/search?q=Jalen+Carter+PHI+headshot&tbm=isch
jefferysimmons.webp,Jeffery Simmons,TEN,DT,DPOY,+5000,https://www.google.com/search?q=Jeffery+Simmons+TEN+headshot&tbm=isch
kennethgrant.webp,Kenneth Grant,MIA,DT,DPOY,+12000,https://www.google.com/search?q=Kenneth+Grant+MIA+headshot&tbm=isch
masongraham.webp,Mason Graham,CLE,DT,DPOY,+10000,https://www.google.com/search?q=Mason+Graham+CLE+headshot&tbm=isch
miltonwilliams.webp,Milton Williams,NE,DT,DPOY,+7500,https://www.google.com/search?q=Milton+Williams+NE+headshot&tbm=isch
nnamdimadubuike.webp,Nnamdi Madubuike,BAL,DT,DPOY,+7500,https://www.google.com/search?q=Nnamdi+Madubuike+BAL+headshot&tbm=isch
quinnenwilliams.webp,Quinnen Williams,NYJ,DT,DPOY,+4000,https://www.google.com/search?q=Quinnen+Williams+NYJ+headshot&tbm=isch
tyleikwilliams.webp,Tyleik Williams,DET,DT,DPOY,+12000,https://www.google.com/search?q=Tyleik+Williams+DET+headshot&tbm=isch
vitavea.webp,Vita Vea,TB,DT,DPOY,+15000,https://www.google.com/search?q=Vita+Vea+TB+headshot&tbm=isch
walternolen.webp,Walter Nolen,ARI,DT,DPOY,+10000,https://www.google.com/search?q=Walter+Nolen+ARI+headshot&tbm=isch
abdulcarter.webp,Abdul Carter,NYG,EDGE,DPOY,+2000,https://www.google.com/search?q=Abdul+Carter+NYG+headshot&tbm=isch
aidanhutchinson.webp,Aidan Hutchinson,DET,EDGE,DPOY,+1000,https://www.google.com/search?q=Aidan+Hutchinson+DET+headshot&tbm=isch
daniellehunter.webp,Danielle Hunter,HOU,EDGE,DPOY,+3300,https://www.google.com/search?q=Danielle+Hunter+HOU+headshot&tbm=isch
donovanezeiruaku.webp,Donovan Ezeiruaku,DAL,EDGE,DPOY,+12000,https://www.google.com/search?q=Donovan+Ezeiruaku+DAL+headshot&tbm=isch
jalonwalker.webp,Jalon Walker,ATL,EDGE,DPOY,+8000,https://www.google.com/search?q=Jalon+Walker+ATL+headshot&tbm=isch
jamespearce.webp,James Pearce Jr.,ATL,EDGE,DPOY,+8000,https://www.google.com/search?q=James+Pearce+Jr.+ATL+headshot&tbm=isch
jaredverse.webp,Jared Verse,LAR,EDGE,DPOY,+1800,https://www.google.com/search?q=Jared+Verse+LAR+headshot&tbm=isch
kayvonthibodeaux.webp,Kayvon Thibodeaux,NYG,EDGE,DPOY,+6600,https://www.google.com/search?q=Kayvon+Thibodeaux+NYG+headshot&tbm=isch
landonjackson.webp,Landon Jackson,BUF,EDGE,DPOY,+15000,https://www.google.com/search?q=Landon+Jackson+BUF+headshot&tbm=isch
maxxcrosby.webp,Maxx Crosby,LV,EDGE,DPOY,+1600,https://www.google.com/search?q=Maxx+Crosby+LV+headshot&tbm=isch
micahparsons.webp,Micah Parsons,GB,EDGE,DPOY,+550,https://www.google.com/search?q=Micah+Parsons+GB+headshot&tbm=isch
mykelwilliams.webp,Mykel Williams,SF,EDGE,DPOY,+8000,https://www.google.com/search?q=Mykel+Williams+SF+headshot&tbm=isch
mylesgarrett.webp,Myles Garrett,CLE,EDGE,DPOY,+700,https://www.google.com/search?q=Myles+Garrett+CLE+headshot&tbm=isch
nikbonitto.webp,Nik Bonitto,DEN,EDGE,DPOY,+1400,https://www.google.com/search?q=Nik+Bonitto+DEN+headshot&tbm=isch
rashangary.webp,Rashan Gary,GB,EDGE,DPOY,+6600,https://www.google.com/search?q=Rashan+Gary+GB+headshot&tbm=isch
shemarstewart.webp,Shemar Stewart,CIN,EDGE,DPOY,+10000,https://www.google.com/search?q=Shemar+Stewart+CIN+headshot&tbm=isch
tjwatt.webp,T.J. Watt,PIT,EDGE,DPOY,+900,https://www.google.com/search?q=T.J.+Watt+PIT+headshot&tbm=isch
